year,month,rank,song_title,artist_name
1960,4,46,WITH THESE HANDS,SHIRLEY BASSEY
1960,4,47,TIME AND THE RIVER,NAT 'KING' COLE
1960,4,48,PUPPY LOVE,PAUL ANKA
1960,4,49,SUMMERTIME,AL MARTINO
1960,4,50,TEARDROP,SANTO AND JOHNNY
1960,5,1,DO YOU MIND?,ANTHONY NEWLEY
1960,5,2,MY OLD MAN'S A DUSTMAN,LONNIE DONEGAN
1960,5,3,SOMEONE ELSE'S BABY,ADAM FAITH
1960,5,4,CATHY'S CLOWN,THE EVERLY BROTHERS
1960,5,5,FALL IN LOVE WITH YOU,CLIFF RICHARD AND THE SHADOWS
1960,5,6,HANDY MAN,JIMMY JONES
1960,5,7,STUCK ON YOU,ELVIS PRESLEY
1960,5,8,SWEET NOTHIN'S,BRENDA LEE
1960,5,9,FINGS AIN'T WOT THEY USED T'BE,MAX BYGRAVES
1960,5,10,THEME FROM 'A SUMMER PLACE',PERCY FAITH
1960,5,11,WILD ONE,BOBBY RYDELL
1960,5,12,STANDING ON THE CORNER,KING BROTHERS
1960,5,13,CLEMENTINE,BOBBY DARIN
1960,5,14,HE'LL HAVE TO GO,JIM REEVES
1960,5,15,FOOTSTEPS,STEVE LAWRENCE
1960,5,16,RUNNING BEAR,JOHNNY PRESTON
1960,5,17,BEATNIK FLY,JOHNNY AND THE HURRICANES
1960,5,18,WHAT IN THE WORLD'S COME OVER YOU,JACK SCOTT
1960,5,19,DELAWARE,PERRY COMO
1960,5,20,HIT AND MISS,JOHN BARRY SEVEN
1960,5,21,SHAZAM!,DUANE EDDY
1960,5,22,POOR ME,ADAM FAITH
1960,5,23,CRADLE OF LOVE,JOHNNY PRESTON
1960,5,24,LOOKING HIGH HIGH HIGH,BRYAN JOHNSON
1960,5,25,COUNTRY BOY,FATS DOMINO
1960,5,26,STAIRWAY TO HEAVEN,NEIL SEDAKA
1960,5,27,YOU GOT WHAT IT TAKES,MARV JOHNSON
1960,5,28,WHY,ANTHONY NEWLEY
1960,5,29,ON A SLOW BOAT TO CHINA,EMILE FORD AND THE CHECKMATES
1960,5,30,MACK THE KNIFE,ELLA FITZGERALD
1960,5,31,WHO COULD BE BLUER,JERRY LORDAN
1960,5,32,BE MINE,LANCE FORTUNE
1960,5,33,TOM PILLIBI,JACQUELINE BOYER
1960,5,34,SUMMER SET,MR. ACKER BILK AND HIS PARAMOUNT JAZZ BAND
1960,5,35,HEARTBEAT {1960},BUDDY HOLLY
1960,5,36,STANDING ON THE CORNER,FOUR LADS
1960,5,37,BONNIE CAME BACK,DUANE EDDY AND THE REBELS
1960,5,38,PRETTY BLUE EYES,CRAIG DOUGLAS
1960,5,39,THE LONELY MAN THEME,CLIFF ADAMS ORCHESTRA
1960,5,40,SKYLARK,MICHAEL HOLLIDAY
1960,5,41,HEART OF A TEENAGE GIRL,CRAIG DOUGLAS
1960,5,42,WITH THESE HANDS,SHIRLEY BASSEY
1960,5,43,LA MER (BEYOND THE SEA),BOBBY DARIN
1960,5,44,COLETTE,BILLY FURY
1960,5,45,ROYAL EVENT,RUSS CONWAY
1960,5,46,DON'T THROW AWAY ALL THOSE TEARDROPS,FRANKIE AVALON
1960,5,47,MY HEART,GENE VINCENT
1960,5,48,YOU ARE BEAUTIFUL,JOHNNY MATHIS
1960,5,49,BEAT FOR BEATNIKS,JOHN BARRY ORCHESTRA
1960,5,50,VALENTINO,CONNIE FRANCIS
1960,6,1,CATHY'S CLOWN,THE EVERLY BROTHERS
1960,6,2,CRADLE OF LOVE,JOHNNY PRESTON
1960,6,3,HANDY MAN,JIMMY JONES
1960,6,4,FOOTSTEPS,STEVE LAWRENCE
1960,6,5,FALL IN LOVE WITH YOU,CLIFF RICHARD AND THE SHADOWS
1960,6,6,SOMEONE ELSE'S BABY,ADAM FAITH
1960,6,7,DO YOU MIND?,ANTHONY NEWLEY
1960,6,8,SHAZAM!,DUANE EDDY
1960,6,9,SWEET NOTHIN'S,BRENDA LEE
1960,6,10,HEART OF A TEENAGE GIRL,CRAIG DOUGLAS
1960,6,11,THREE STEPS TO HEAVEN,EDDIE COCHRAN
1960,6,12,STAIRWAY TO HEAVEN,NEIL SEDAKA
1960,6,13,STANDING ON THE CORNER,KING BROTHERS
1960,6,14,BEATNIK FLY,JOHNNY AND THE HURRICANES
1960,6,15,SIXTEEN REASONS,CONNIE STEVENS
1960,6,16,THEME FROM 'A SUMMER PLACE',PERCY FAITH
1960,6,17,STUCK ON YOU,ELVIS PRESLEY
1960,6,18,HE'LL HAVE TO GO,JIM REEVES
1960,6,19,LET THE LITTLE GIRL DANCE,BILLY BLAND
1960,6,20,MAMA/ROBOT MAN,CONNIE FRANCIS
1960,6,21,FINGS AIN'T WOT THEY USED T'BE,MAX BYGRAVES
1960,6,22,MACK THE KNIFE,ELLA FITZGERALD
1960,6,23,WHAT IN THE WORLD'S COME OVER YOU,JACK SCOTT
1960,6,24,CLEMENTINE,BOBBY DARIN
1960,6,25,THAT'S YOU,NAT 'KING' COLE
1960,6,26,MY OLD MAN'S A DUSTMAN,LONNIE DONEGAN
1960,6,27,THE URGE,FREDDIE CANNON
1960,6,28,I WANNA GO HOME,LONNIE DONEGAN
1960,6,29,THIS LOVE I HAVE FOR YOU,LANCE FORTUNE
1960,6,30,YOU GOT WHAT IT TAKES,MARV JOHNSON
1960,6,31,GREEN JEANS,FLEE-REKKERS
1960,6,32,TRUE LOVE WAYS,BUDDY HOLLY
1960,6,33,THAT'S LOVE,BILLY FURY
1960,6,34,WILD ONE,BOBBY RYDELL
1960,6,35,TEASE ME,KEITH KELLY
1960,6,36,LUCKY FIVE,RUSS CONWAY
1960,6,37,KOOKIE, KOOKIE (LEND ME YOUR COMB)
1960,6,38,GOT A GIRL,FOUR PREPS
1960,6,39,YOU'LL NEVER KNOW WHAT YOU'RE MISSING,EMILE FORD AND THE CHECKMATES
1960,6,40,MUSTAPHA,BOB AZZAM AND HIS ORCHESTRA
1960,6,41,COUNTRY BOY,FATS DOMINO
1960,6,42,DELAWARE,PERRY COMO
1960,6,43,SUMMER SET,MR. ACKER BILK AND HIS PARAMOUNT JAZZ BAND
1960,6,44,HIT AND MISS,JOHN BARRY SEVEN
1960,6,45,MILORD,EDITH PIAF
1960,6,46,YOU ARE BEAUTIFUL,JOHNNY MATHIS
1960,6,47,BABY MY HEART,CRICKETS
1960,6,48,BIG IRON,MARTY ROBBINS
1960,6,49,PAPER ROSES,ANITA BRYANT
1960,6,50,AIN'T MISBEHAVIN',TOMMY BRUCE AND THE BRUISERS
1960,7,1,THREE STEPS TO HEAVEN,EDDIE COCHRAN
1960,7,2,GOOD TIMIN',JIMMY JONES
1960,7,3,MAMA/ROBOT MAN,CONNIE FRANCIS
1960,7,4,AIN'T MISBEHAVIN',TOMMY BRUCE AND THE BRUISERS
1960,7,5,CRADLE OF LOVE,JOHNNY PRESTON
1960,7,6,I WANNA GO HOME,LONNIE DONEGAN
1960,7,7,CATHY'S CLOWN,THE EVERLY BROTHERS
1960,7,8,WHEN JOHNNY COMES MARCHING HOME/MADE YOU,ADAM FAITH
1960,7,9,HANDY MAN,JIMMY JONES
1960,7,10,ANGELA JONES,MICHAEL COX
1960,7,11,SIXTEEN REASONS,CONNIE STEVENS
1960,7,12,HE'LL HAVE TO GO,JIM REEVES
1960,7,13,WHAT A MOUTH,TOMMY STEELE
1960,7,14,DOWN YONDER,JOHNNY AND THE HURRICANES
