song_title,artist_name
I'LL STAND BY YOU,PRETENDERS
EVERYTHING CHANGES,TAKE THAT
100% PURE LOVE,CRYSTAL WATERS
REACH,JUDY CHEEKS
ROCKIN' FOR MYSELF,MOTIV 8
SATURDAY NIGHT, SUNDAY MORNING
LICK A SHOT,CYPRESS HILL
AS IF WE NEVER SAID GOODBYE,BARBRA STREISAND
BULL IN THE HEATHER,SONIC YOUTH
LONELY SYMPHONY,FRANCES RUFFELLE
WRECKX SHOP,WRECKX-N-EFFECT
YOU GOTTA BE,DES'REE
OBJECTS IN THE REAR VIEW MIRROR,MEAT LOAF
SILENT SCREAM,RICHARD MARX
MILLENIUM,KILLING JOKE
DREAMS,CRANBERRIES
HOLD THAT SUCKER DOWN,O.T. QUARTET
THE MONEY EP,SKIN
SET YOU FREE,N-TRANCE FEAT KELLY LLORENNA
MUST BE THE MUSIC,HYSTERIX
DIFFERENT TIME DIFFERENT PLACE,JULIA FORDHAM
IT WILL BE YOU,PAUL YOUNG
WHY ME?,PJ & DUNCAN
WE WAIT AND WE WONDER,PHIL COLLINS
ALL OVER YOU,LEVEL 42
LET THE MUSIC (LIFT YOU UP),LOVELAND VS DARLENE LEWIS
HIGH ON A HAPPY VIBE,URBAN COOKIE COLLECTIVE
MR JONES,COUNTING CROWS
UNIFORM,INSPIRAL CARPETS
MISLED,CELINE DION
BECOMING MORE LIKE GOD,JAH WOBBLE'S INVADERS OF HEART
DON'T LOOK DOWN,MICK RONSON WITH JOE ELLIOTT
BASS CADET EP,AUTECHRE
HOW GEE,BLACK MACHINE
ALONE AGAIN IN THE LAP OF LUXURY,MARILLION
CAN U FEEL IT,DEEP CREED 94
BREAKAWAY,ZZ TOP
LIBERATION,PET SHOP BOYS
SHE HOLDS THE KEY,SECRET LIFE
SUPERSONIC,OASIS
CRAZY,BOB GELDOF
OBLIVION,TERRORVISION
FOREVER AND A DAY,BROTHERS IN RHYTHM 
HOW TO FALL IN LOVE PART 1,BEE GEES
WE ARE GOING ON DOWN,DEADLY SINS
BIRDMAN,RIDE
STANDING OUTSIDE THE FIRE,GARTH BROOKS
BORN IN THE GHETTO,FUNKY POETS
SOMETHING ABOUT U,MR. ROY
THE DAY I TRIED TO LIVE,SOUNDGARDEN
GOIN' BACK/SON OF A PREACHER MAN,DUSTY SPRINGFIELD
PONDEROSA,TRICKY
STARRCLUB,WHITEOUT
BEST FRIEND,UNDERCOVER
ACCIDENTLY KELLY STREET,FRENTE
OMNI TRIO VOLUME 4,OMNI TRIO
ON AND ON,SHYHEIM A
RUN BABY RUN,SHERYL CROW
POWER OF LOVE,Q-TEX
13 STEPS LEAD DOWN,ELVIS COSTELLO
FOR THE DEAD/CHILD'S BODY,GENE
LOCKED,MUTHA'S DAY OUT
15 WAYS,FALL
BELIEVE,DIG
ENERGY EP,Q.F.X
WILD ONE,FAITH HILL
ON A LEASH EP,SALAD
HEREE AH CUMM,7669
THE CLUBLAND EP,PARKS & WILSON
STARETHROUGH EP,SEEFEEL
IT'S NOT MY FAULT,BLINK
I'M ALLOWED,BUFFALO TOM
SWAMP FEVER,DELTA LADY
A TASTE OF THINGS,RATTY
LOVE IS ALL AROUND,WET WET WET
AROUND THE WORLD,EAST 17
GET-A-WAY,MAXX
NO GOOD (START THE DANCE),PRODIGY
BABY I LOVE YOUR WAY,BIG MOUNTAIN
CARRY ME HOME,GLOWORM
THE REAL THING,2 UNLIMITED
SWAMP THING,GRID
MORE TO THIS WORLD,BAD BOYS INC.
SHOOP,SALT N PEPA
DISSIDENT,PEARL JAM
EVERYBODY'S TALKIN',BEAUTIFUL SOUTH
OMEN III,MAGIC AFFAIR
THE BEAUTIFUL EXPERIENCE,(SYMBOL)
THE SISTERS EP,PULP
SINCE I DON'T HAVE YOU,GUNS N' ROSES
TAKE IT BACK,PINK FLOYD
WHAT YOU'RE MISSING,K-KLASS
PRAYER FOR THE DYING,SEAL
SUCH A PHANTASY EP,TIME FREQUENCY
BEGGIN' TO BE WRITTEN,WORLDS APART
MAMA SAID,CARLEEN ANDERSON
PAST THE MISSION,TORI AMOS
LONG TIME GONE,GALLIANO
PATIENCE OF ANGELS,EDDI READER
SATURDAY NIGHT PARTY,ALEX PARTY
EASE MY MIND,ARRESTED DEVELOPMENT
CRASH! BOOM! BANG!,ROXETTE
LOST IN AMERICA,ALICE COOPER
LEAN ON ME,MICHAEL BOLTON
CRAZY,JULIO IGLESIAS
INSIDE YOUR DREAMS,U96
DON'T GO '94,AWESOME 3
SLAVE NEW WORLD,SEPULTURA
HEAVEN,FITS OF GLOOM
NUMBER ONE,E.Y.C
NOBODY,SHARA NELSON
LOW,CRACKER
TEARS OF THE DRAGON,BRUCE DICKINSON
TESTAMENT 4,CHUBBY CHUNKS VOLUME 2
DEEP FOREST,DEEP FOREST
HYMN,MOBY
IN THE NAVY - 1994 REMIXES,VILLAGE PEOPLE
AIN'T NOTHING LIKE THE REAL THING,MARCELLA DETROIT & ELTON JOHN
YOUR BODY'S CALLIN',R KELLY
THIS IS THE WAY,FKW
I GOT IT GOIN' ON,US3
ROLLERCOASTER EP,EVERYTHING BUT THE GIRL
THE EYES OF TRUTH,ENIGMA
IF YOU GO,JON SECADA
TWINKLE TWINKLE (I'M NOT A STAR),DJ JAZZY JEFF AND FRESH PRINCE
SO CLOSE TO LOVE,WENDY MOTEN
TREE FROG,HOPE
GETTING INTO SOMETHING,ALISON MOYET
LIKE A MOTORWAY,SAINT ETIENNE
WHEN A MAN LOVES A WOMAN,JODY WATLEY
THE RHYTHM,CLOCK
IT AIN'T HARD TO TELL,NAS
LISTEN TO THE MUSIC,DOOBIE BROTHERS
LEAD ME ON,MILAN
ROCK 'N' ROLL KIDS,PAUL HARINGTON
COME WITH ME,RONNY JORDAN
IT'S A LOVING THING,CB MILTON
HERE COMES A MAN,TRAFFIC
JULIE EP,LEVELLERS
BESIDE YOU,IGGY POP
BACK IN MY LIFE,JOE ROBERTS
LIVING FOR THE CITY,RUBY TURNER
MY LOVE,MARY J BLIGE
LIFTING ME HIGHER,GEMS FOR JEM
RIVER DANCE,BILL WHELAN
LEAST COMPLICATED,INDIGO GIRLS
NIGHT LIFE,DAVID LEE ROTH
I SWEAR,ALL-4-ONE
YOU DON'T LOVE ME (NO, NO
DON'T TURN AROUND,ACE OF BASE
GO ON MOVE,REEL 2 REAL FEAT MAD STUNTMAN
SHINE,ASWAD
U & ME,CAPPELLA
SHAKERMAKER,OASIS
ANYTIME YOU NEED A FRIEND,MARIAH CAREY
BODY IN MOTION,ATLANTIC OCEAN
BACK AND FORTH,AALIYAH
WILLING TO FORGIVE,ARETHA FRANKLIN
I WANNA BE YOUR MAN,CHAKA DEMUS & PLIERS
AIN'T NOBODY (LOVES ME BETTER),KWS AND GWEN DICKEY
ABSOLUTELY FABULOUS,ABSOLUTELY FABULOUS
SHUT UP AND DANCE,AEROSMITH
MIDDLEMAN,TERRORVISION
NO MORE TEARS (ENOUGH IS ENOUGH),JOCELYN BROWN AND KYM MAZELLE
ANY TIME, ANY PLACE
DO YOU WANT IT RIGHT NOW,DEGREES OF MOTION
MOVE YOUR BODY,ANTICAPPELLA FEAT MC FIXX IT
DOLPHIN,SHED SEVEN
TAKE ME AWAY,D:REAM
7 SECONDS,YOUSSOU N'DOUR 
GLORYLAND,DARYL HALL
NIGHT IN MY VEINS,PRETENDERS
I DON'T LIKE MONDAYS,BOOMTOWN RATS
I CAN'T IMAGINE THE WORLD WITHOUT ME,ECHOBELLY
GHETTO DAY/WHAT I NEED,CRYSTAL WATERS
THE SUN DOES RISE,JAH WOBBLE'S INVADERS OF HEART
LAY YOUR LOVE ON ME,ROACHFORD
AMERICA - WORLD CUP THEME 1994,LEONARD BERNSTEIN
MAYBE LOVE,STEVIE NICKS
TO THE END,BLUR
CLEOPATRA'S CAT,SPIN DOCTORS
JESUS HAIRDO,CHARLATANS
INCREDIBLE,M-BEAT FEAT GENERAL LEVY
FEEL WHAT YOU WANT,KRISTINE W
CRAYZY MAN,BLAST FEATURING V.D.C.
TWO CAN PLAY THAT GAME,BOBBY BROWN
YOU MUST BE PREPARED TO DREAM,IAN MCNABB
BACK TO LOVE,BRAND NEW HEAVIES
MAKE MY LOVE,SHAWN CHRISTOPHER
THE ONE FOR ME,JOE
SEETHER,VERUCA SALT
I STILL THINK OF YOU,UTAH SAINTS
I AIN'T MOVIN',DES'REE
10 SECOND BIONIC MAN,KINKY MACHINE
HARMONICA MAN,BRAVADO
VISIONS,LENA FIAGBE
IN YOUR DANCE,E-LUSTRIOUS
I'LL TAKE YOU THERE,GENERAL PUBLIC
CLOSER,NINE INCH NAILS
LOVETOWN,PETER GABRIEL
WHY ME?,A HOUSE
SNAP YOUR FINGERS, SNAP YOUR NECK
YOU,BONNIE RAITT
FINGERS OF LOVE,CROWDED HOUSE
LIFEBOAT,TERRY NEASON
EVERYWHERE I GO,JACKSON BROWNE
JAILBIRD,PRIMAL SCREAM
ANYTHING,SWV
FASTER/P.C.P.,MANIC STREET PREACHERS
TIME FOR THE REST OF YOUR LIFE,STRANGELOVE
FLOW ON,LORDS OF THE UNDERGROUND
ZUNGA ZENG,K7 & THE SWING KIDS
DE DAH DAH (SPICE OF LIFE),KEITH MAC PROJECT
EVERYDAY THANG,MELANIE WILLIAMS
DARK & LONG,UNDERWORLD
UNITED,PRINCE ITAL JOE 
NEW BEGINNING,DUKE
DIE LAUGHING,THERAPY?
(MEET) THE FLINTSTONES,BC-52'S
SEARCHING,CHINA BLACK
REGULATE,WARREN G & NATE DOGG
LET'S GET READY TO RHUMBLE,PJ & DUNCAN
NO MORE (I CAN'T STAND IT),MAXX
EVERYTHING IS ALRIGHT (UPTIGHT),C J LEWIS
COMPLIMENTS ON YOUR KISS,RED DRAGON WITH BRIAN AND TONY
BLACK BOOK,E.Y.C
TROUBLE,SHAMPOO
RUN TO THE SUN,ERASURE
EVERYBODY GONFI-GON,TWO COWBOYS
CAN YOU FEEL THE LOVE TONIGHT,ELTON JOHN
KISS FROM A ROSE,SEAL
GIRLS + BOYS,HED BOYS
I DIDN'T MEAN IT,STATUS QUO
LOVE AIN'T HERE ANYMORE,TAKE THAT
LIBIAMO/LA DONNA E MOBILE,CARRERAS
IS THIS LOVE/SWEET LADY LUCK,WHITESNAKE
(I WANT TO) KILL SOMEBODY,S*M*A*S*H
