year,month,rank,artist,song,romance_score,political_score,sad_score
1962,5,4,delshannon,heylittlegirl,3,20,0
1962,5,7,samcooke,twistinthenightaway,0,20,2
1962,5,8,brendalee,speaktomepretty,0,6,0
1962,5,19,chubbychecker,letstwistagain,0,21,0
1962,5,22,cliffrichard,theyoungones,4,20,0
1962,5,24,rickynelson,youngworld,0,13,2
1962,5,28,chubbychecker,slowtwistin,0,8,0
1962,5,30,neilsedaka,kingofclowns,2,11,0
1962,5,43,patsycline,shesgotyou,2,14,0
1962,5,49,conniefrancis,dontbreaktheheartthatlovesyou,3,17,3
1962,6,1,elvispresley,goodluckcharm,5,23,3
1962,6,14,brendalee,speaktomepretty,0,6,0
1962,6,15,delshannon,heylittlegirl,3,20,0
1962,6,28,rickynelson,youngworld,0,13,2
1962,6,32,samcooke,twistinthenightaway,0,20,2
1962,6,36,neilsedaka,kingofclowns,2,11,0
1962,6,38,royorbison,dreambaby,2,7,0
1962,6,42,perrycomo,caterina,2,6,3
1962,6,44,chubbychecker,letstwistagain,0,21,0
1962,6,48,cliffrichard,theyoungones,4,20,0
1962,7,3,elvispresley,goodluckcharm,5,23,3
1962,7,8,raycharles,icantstoplovingyou,0,28,0
1962,7,30,andywilliams,strangerontheshore,4,13,0
1962,7,43,chubbychecker,letstwistagain,0,21,0
1962,7,48,neilsedaka,kingofclowns,2,11,0
1962,8,2,raycharles,icantstoplovingyou,0,28,0
1962,8,6,elvispresley,goodluckcharm,5,23,3
1962,8,27,neilsedaka,breakingupishardtodo,2,14,3
1962,8,29,bobbydarin,things,3,10,3
1962,8,39,andywilliams,strangerontheshore,4,13,0
1962,9,3,bobbydarin,things,3,10,3
1962,9,8,neilsedaka,breakingupishardtodo,2,14,3
1962,9,9,raycharles,icantstoplovingyou,0,28,0
1962,9,10,conniefrancis,vacation,6,28,0
1962,9,19,chubbychecker,dancinparty,0,22,0
1962,9,21,bobbyvinton,rosesareredmylove,0,18,0
1962,9,34,elvispresley,shesnotyou,2,10,0
1962,9,38,shirleybassey,whatnowmylove,4,8,3
1962,9,44,elvispresley,goodluckcharm,5,23,3
1962,9,48,rickynelson,teenageidol,0,14,0
1962,10,1,elvispresley,shesnotyou,2,10,0
1962,10,2,cliffrichard,itllbeme,4,34,0
1962,10,6,bobbydarin,things,3,10,3
1962,10,9,neilsedaka,breakingupishardtodo,2,14,3
1962,10,12,raycharles,youdontknowme,2,15,6
1962,10,14,shirleybassey,whatnowmylove,4,8,3
1962,10,21,buddyholly,reminiscing,2,17,2
1962,10,24,caroleking,itmightaswellrainuntilseptember,4,35,3
1962,10,26,raycharles,icantstoplovingyou,0,28,0
1962,10,27,chubbychecker,dancinparty,0,22,0
1962,10,33,delshannon,crymyselftosleep,0,8,0
1962,10,34,natkingcole,ramblinrose,0,9,0
1962,10,42,conniefrancis,vacation,6,28,0
1962,10,46,jerryleelewis,sweetlittlesixteen,0,17,0
1962,10,49,martyrobbins,devilwoman,4,47,4
1962,10,50,chubbychecker,letstwistagain,0,21,0
