year,month,rank,artist,song,romance_score
1963,12,29,hollies,stay,3
1963,12,49,hollies,searchin,4
1963,12,50,jimreeves,guilty,5
1964,1,1,beatles,iwanttoholdyourhand,3
1964,1,2,beatles,shelovesyou,3
1964,1,5,dustyspringfield,ionlywanttobewithyou,8
1964,1,6,daveclarkfive,gladallover,9
1964,1,9,genepitney,twentyfourhoursfromtulsa,5
1964,1,12,gerryandthepacemakers,youllneverwalkalone,3
1964,1,16,elvispresley,kissmequick,5
1964,1,17,hollies,stay,3
1964,1,25,shirleybassey,iwhohavenothing,5
1964,1,30,searchers,sugarandspice,3
1964,1,38,ronettes,bemybaby,3
1964,1,40,raycharles,busted,0
1964,1,45,bobbyvinton,thereivesaiditagain,0
1964,2,1,searchers,needlesandpins,0
1964,2,2,daveclarkfive,gladallover,9
1964,2,4,gerryandthepacemakers,imtheone,6
1964,2,5,dustyspringfield,ionlywanttobewithyou,8
1964,2,6,beatles,iwanttoholdyourhand,3
1964,2,7,genepitney,twentyfourhoursfromtulsa,5
1964,2,8,hollies,stay,3
1964,2,9,brendalee,asusual,3
1964,2,15,elvispresley,kissmequick,5
1964,2,16,beatles,shelovesyou,3
1964,2,27,gerryandthepacemakers,youllneverwalkalone,3
1964,2,30,rickynelson,foryou,6
1964,2,34,bobbyvinton,thereivesaiditagain,0
1964,2,40,kingsmen,louielouie,3
1964,2,43,shirleybassey,iwhohavenothing,5
1964,3,3,searchers,needlesandpins,0
1964,3,4,daveclarkfive,bitsandpieces,4
1964,3,6,gerryandthepacemakers,imtheone,6
1964,3,9,brendalee,asusual,3
1964,3,14,daveclarkfive,gladallover,9
1964,3,16,rickynelson,foryou,6
1964,3,17,beatles,iwanttoholdyourhand,3
1964,3,18,dustyspringfield,stayawhile,3
1964,3,19,genepitney,twentyfourhoursfromtulsa,5
1964,3,21,royorbison,borneonthewind,0
1964,3,25,dustyspringfield,ionlywanttobewithyou,8
1964,3,26,jimreeves,iloveyoubecause,0
1964,3,27,chuckberry,nadine,3
1964,3,28,beatles,shelovesyou,3
1964,3,29,rollingstones,notfadeaway,0
1964,3,30,kingsmen,louielouie,3
1964,3,31,hollies,stay,3
1964,3,39,hollies,justonelook,3
1964,3,47,dionnewarwick,anyonewhohadaheart,6
1964,3,48,andywilliams,afoolneverlearns,0
1964,4,2,hollies,justonelook,3
